date,ratings,helpful,comment
2019-02-14,5,0,"이번에 취업 성공했는데 다른 지역이라 3월까지 지내야 할 곳을 찾는 중이었는데 제가 항상 이용하는 국민은행에서 새 앱이 나왔다고해서 그냥 믿고 깔았네요 다른 집 알아보는 어플이랑은 매물량, 가독성 등 확연하게 다르네요 ㅠ 좋은 어플 만들어주셔서 감사해요!"
2019-02-13,5,0,"스타벅스 커피 증정 이벤트 참여했는데
상시 지급이라던데 언제 증정되나요~?"
2019-02-05,5,0,원하는 매물의 부동산 시세를 언제나 볼 수 있어서 젛네요. 주변 매물의 평균 시세도 바로바로 볼 수 있어서 좋고요.
2019-02-01,4,0,부동산과 관련된 내용들이 총망라되어 있는거 같아요. 단지 정보도 쉽게 파악하고 너무 좋네요. 앞으로 더 좋은 기능들이 포함되었으면 좋겠습니다. 대박!!!
2019-01-17,5,0,풍부한 콘텐츠가 구성되길 바랍니다~
2019-01-16,5,0,이번 업데이트 이후 디자인 훨씬 깔끔해지고 기능도 더 많이 추가됐네요!!! 집 내놓아야하는데 리브온 통해서 하면 될 것같아요
2019-01-16,5,2,역시 KB! 기능들이 쉽고 간편하게 사용할수 있어서 너무 마음에 드네요~
2019-01-16,5,0,새로바뀐 화면이 정말 깔끔하니 이쁘네요~ 이사 예정인데 요기서 검색해봐야겠어요~~!!
2019-01-16,5,0,시세 보려고 들락날락 많이 하는데 디자인도 깔끔하고 보기 좋아요~!
2019-01-16,5,0,"부동산 뉴스, 단지정보 등 풍부한 내용
매물도 예전보다 많아진 듯
그러나 속도는 여전히 느림(특히 지도)"
2019-01-16,5,0,부동산 관심 많아 관련앱 다 보고 있는데 리브온이 젤 깔끔하네요.
2019-01-16,5,0,업데이트 이후에 좋은 자료들도 많이 올라오고 더 풍성해졌네요!!
2019-01-10,1,0,"업데이트 다 했는데 계속 업데이트 하라고 나옵니다. 
그리고 암것도 안되요."
2018-12-24,1,0,아이폰 위젯 추가 시 화면 잘림 보안 바람니다
2018-11-08,4,0,이제 아이폰은 X시리즈로 나오는데 아직까지 앱관리를 못하시다니.. 속히 조치 부탁드립니다. 앱 내용은 좋습니다 시세비교하며 주변 매물까지 한번에 볼수있으니 좋네요
2018-10-22,1,0,"통신상태가 좋치 않습니다. 앱을 재실행 하십시요??

이 메세지만 뜨고 실행이 안되는데요? 

어떻게 된거죠?"
2018-09-14,1,0,통신상태가 원활하지 않습니다 앱 종료후 다시 실행시켜 주십시오. 에러가 계속 나네요. 인터넷 피씨버전은 되는데 왜 이래요
2018-03-22,3,0,아이폰 10 해상도 지원 요청 드려요
2018-01-18,2,0,조금 느려요. 뒤로가기 버튼 없어서 불편해요. 국민은행밖에 안되는 것도 조금 아쉽네요. 국민은행이라 어쩔 수 없지만요
2017-12-20,1,0,"속도도 느리고 검색 매우 불편
네이버부동산 밴치마킹좀 해요"
2017-11-24,1,0,"광고는 많이하더니 어플은 엉성, 콘텐츠는 빵점. 매물은 무슨 현실감없는 수개월 전 매물이 보이고 이거보느니 네이버 부동산의 어처구니없는 호가 보고있는게 나을 듯"
2017-08-10,5,0,"예산에 맞는 단지 찾는거 좋아요

한번에 여러지역 찾는 방식도 참신하네요 ~ ^^

매물은 좀 없네요"
2017-08-09,5,0,좋은 정보 받아볼 수 있어서 추천합니다!ㅋㅋ
2017-08-08,5,0,기존과 달라진 신혼관 ^^ 멋집니다!!! 시세 단지 찾기 너무 편하네요!!
2017-07-05,5,0,"예전부터 부동산 관련해서는 국민은행이 1인자였는데 이번에 은행 최초로 부동산 앱도 만들었네요. 멋져요!!! ㅎㅎ
디자인부터 메뉴까지 열심히 고민하신 게 엿보입니다. 안그래도 최근에 이사갈 일 있어서 매일 KB부동산 앱 출석하고 있어요. ㅋㅋ 다른 부동산 앱들과는 다르게 대출 같은 금융 관련 기능도 한번에 돼서 좋네요! 앞으로 더 애용할게요~~~"
2017-06-28,1,0,직전 앱이 시세 확인하기가 참 쉬웠는데 전 많이 아쉽네요.  지역 검색도 어렵고 지도로 되어있으니 좋기도 하지만 업무상 쓰는 입장에선 동별로 시세 보는게 더 좋았어요
2017-06-17,4,0,"국민은행 정말 손안데는게 없네요ㅎ
필요하다생각하면 금방 생기고 편리하고 좋네요
부동산관심 많았는데 실시간으로 확인하고 볼수있어서 만족합니다 화이팅이에요<<"
2017-06-14,1,0,별로
2017-06-08,1,0,단지 찾기도 어렵고 시세 보기도 불편하고 이게 뭐하는 업뎃인지 난 정말 모르겠네요. 리스트식으로 한눈에 띄워줘야 골라서 보지 이거 뭐 찾아 들어가기도 원하는거 보기도 불편하고 영 아니올씨다입니다
2017-06-02,1,0,"이전버전보다 시세보기가 번잡하고
불편합니다. 
상항가 일반가 보기가 한눈에 확 들어오질 않네요.
오히려 단순하고 깔끔한 이전버전이 훨씬 좋습니다."
2017-05-29,1,0,"뭔 놈의 어플을 이따위로 만들었냐?
아파트 찾다 열받아서 리뷰 남긴다"
2017-05-24,5,0,광고가 없고 배경 이미지가 사진이라 그런지 따뜻한 느낌이 들어 좋네요. 집 알아 보는 중인데 잘 활용할 듯요!
2017-05-24,1,0,도대체 무슨짓을 해놓은거야. ㅡㅡ;
2017-05-23,5,0,필요한 기능만으로 잘 정리되었네요
2017-05-23,5,0,"디자인깔끔해서  보기편하고
특히  AR체험  매물검색하는게 신기하고
좋아용 👍"
2017-05-23,5,0,정보를 쉽게 찾아볼 수 있도록 되어 있어 앞으로 자주 이용할 꺼 같아요^^
2017-05-23,1,0,직방이 나을듯..
2017-05-23,1,0,업데이트 후 실행했더니 에러코드 나오면서 인증실패라고 뜨면서 실행 안됩니다 고쳐주세요
2017-05-21,5,0,마침 이사갈려고 알아보고 있었는데 너무 편리하고 유용한 앱이네요!! 로그인 안해두 되서 너무 좋구요>_<~~~
2017-02-15,3,0,구입목록에서 삭제 부탁합니다.
2016-10-11,1,0,환불해주세요
2016-07-21,5,0,용량 때문에요 ㅠㅠ
2016-06-14,2,0,구매 삭제 부탁드립니다
2016-05-30,5,0,냉무
2016-01-28,1,0,구매링크삭제좀해주세요
2016-01-20,1,0,2016년 1월 21일 업데이트 후 접속에러 납니다. 수정부탁드립니다
2016-01-20,3,0,아이폰 업데아트하고나니 계속 새로설치하라고떠요~구매기록 삭제부탁드려요~
2015-11-03,1,0,로긴을 할수가 없음
2015-02-23,1,0,구매목록 삭제해주세요. 제발
2015-01-24,1,0,다운받아 검색하니 이건뭐...왜만든건가--^. 바로 지움...
2014-06-09,2,0,"시세에서 현위치 검색하면 튕겨져나오는게 업그레이드로 고쳐졌지만. 다음지도가 뜨면서 주변 아파트는 커녕 지도상에 아무것도 보여주질 않는다. 
테스트는 하고 올린건지 원..."
2014-01-31,1,0,삭제도 안되고 어떻게 해야 하나요?
2013-03-26,5,0,역쉬 부동산정보는 KB 라는 생각이 드네요~
2013-02-26,5,0,"부동산앱들 다 좀 복잡하고 어렵던데
알기쉽게잘된거같아요
인터넷으로도 항상 kb 부동산만 봤는데
감사해용 홍홍"
2013-02-26,5,0,깔끔하니 좋네옄
2013-02-26,4,0,시세 오르면 알람주면 좋겠다
