date,ratings,helpful,comment
2020-02-20,2,13,다른 앱들 보다 검색이 편리하고 정보도 많이 얻을 수있어요 하지만 매물이 사라지는 문제가.. 필터조건 한번 건드려주면 다시 나오긴 하는데 멈추는 문제는.. 해결방법이 ㅠㅠ
2020-05-31,3,14,지도 확대축소시 자주 먹통되곤함. 매물정보 한번 찾으려고하면 화면 열리는데 너무 오래걸림
2020-08-02,1,2,아니 부동산이라는게 평면도도 없어요!!! 이 앱은 뭘 할라고 만들어 놨어요!!!! 부동산처리가 잘 않되어 있습니다.!!!
2020-08-29,1,1,어이없이 느리고 중간에 멈추는건.. 이렇게 구린 앱 첨봐요
2019-01-17,5,44,"예전보다 화면이 훨씬 깔끔해져서 보기에도 좋고, 이용하기에도 더 편리해진거 같아요! 다른 앱보다 매물정보도 정확해서 진짜 매물을 찾고계시는분들에게 강력추천드립니다 :))"
2020-06-29,1,4,검색만 할려고 하면 로딩....겁나게도 길네 짜증나서 바로 삭제!! S20울트라 인데 폰 때문은 아닌듯 그냥 안써요
2019-01-17,5,24,게시판에 정보가많아서좋네요ㅎ 전보다 볼게많아진것같아요 ㅎ 전세집찾으려고 여러 앱많이봣는데 관련뉴스들 보면서 매물도 보고 시세랑 대출이되니까좋아요 ~~~속도도 빨라지면 더 편할듯 합니다 추천!!!
2020-07-23,1,2,"7월23일 9:00~10:13 현재 접속이 안됩니다. 접속이 되야 뭘 해보든지 말든지 하지,,"
2019-12-10,1,17,쓰다가 항상 중간에 멈춰버려요 단 한번도 쓰면서 제대로 작동된 적이 없습니다 어떻게 앱을 이렇게 만들었나 싶을 정도에요 업데이트하고나서 나아진줄 알았는데 그래도 중간에 한번씩 무한로딩되는건 변함없네요
2019-12-17,2,0,업데이트 후에 알림설정하려고하면 계속 로그인이 필요하다고 메세지가뜹니다. 이미 로그인이 되어있는데도요. 그리고 자동로그인 해놨는데 계속 들어갈때마다 로그인을 해줘야하고 알림 메시지도 잘안와요.
2019-07-09,3,5,"잘사용하다 갑자기 어플이 안열립니다 삭제 후 다시 열어보기도 하고, v3깔아봐도 문제가 없습니다 어떻게 해결해야 할까요? 데이터는 무제한입니다"
2020-07-07,3,1,"교통 검색기능이 좋았는데, 사라졌네요. 그게 이 앱의 가장 큰 장점인데, 다시 살려주시면 안될까요?"
2019-06-19,1,19,"이전 버전이 깔끔하고 찾기 편리했는데 왜이렇게 조잡하게 바꿔 놓았나요? 정말 이해를 할수가 없는 부분입니다 업데이트후 좋아진 기능은 없고 검색하기 힘들게 조잡하게 되어있는데 ,, 이걸 승인한 관리자들은 참,,,"
2020-02-21,3,14,정보성글이나 첨부사항 기재시 객관적인 성향인지 언론보도를 토대로한 전달인지 의사표현이 불확실한 정보인게 있는듯합니다 개시글이나 정보에대한 기준이나 성향이 확실해야한다고봅니다 그렇지않다면 퍼온글이라 표현하는게 맞을듯요
2019-02-05,1,8,1. 느린 앱 터치반응이 느림 2. 검색옵션에서 가격대를 지정해도 무시됨. 검색방식에 있어서 아이디어는 좋았으나 앱으로는 별로 안 좋음
2019-01-22,3,3,"위젯 설정기능이 추가되어 좋긴 한데, 시세 평형을 추가하면 다른 평형이 추가됩니다..오류 좀 수정해주세요~ 위젯 안정성도 많이 떨어집니다"
2019-05-19,1,2,뉴스읽는데 중간에 자동으로 앱꺼짐이 너무 자주 발생함. 매물시세 조회시 한참동안 조회중으로 나옴. 최신 핸드폰임에도 에로사항많음
2020-06-22,1,1,화면 한번 넘어갈때 마다 너무 느려요. 속터져서 PC켜요.
2019-03-26,1,32,그지같이 만들었네요. 잠깐 동작하다 앱이 먹통이네요. 갤럭시노트9 입니다. 재부팅해도 같은상황. 취미로 만든거 아님 잘좀 만드세요. 앱을 내리던가.
2020-06-21,1,4,다른앱한번 보려고 나갔다오면 왜이리 팅기고 재실행하는건지 좀 제대로좀 만들어줬으면 직방도 이정도아니다 믿고 보려는데 너무 심한거 아님
2019-10-28,4,4,금액대별로 보려고 설정 했는데 자꾸 오바 되서 나오네요. 예)전세 최소금액5천~1억미만으로 설정 했는데 3억원대까지 나옴
2019-11-13,1,16,업데이트 이후에 로딩화면에서 넘어가지 않음.. 삭제하고 재설치해도 마찬가지임.. 사용이 불가능해서 아얘 삭제해버림
2020-02-16,4,3,어플을 실행하면 업데이트(데이터 다운로드) 되지 않고 실행이 안됩니다ㅠ 권한 다 허용고 어플 삭제했다 다시 깔아보기도 하는데 도무지 접속이 안됩니다 제발 도와주석요
2019-11-01,1,7,"로그인했는데 로그인 안햇다고 알람설정도 안되고, 알림들어가는데 반나절 걸리고 이게 앱인지 의문이 들정도로 최악인 어플."
2019-01-06,1,11,"업데이트 왜하신건가요.. 어플도, 홈페이지도 바뀐게 더 최악이네요. 개인적으론 이전버전으로 돌리시길 바랄뿐.."
2019-06-04,2,3,복잡한 구조. 로그인 하고 관심매물 등록 눌렀는데 로그인하라고 뜸... 로그인하고 또 로그인하는 구조인가요?
2019-12-27,1,8,노트11플러스 사용자 입니다. 앱로딩이 멈추는 먹통상태가 지속되네요. 재설치도 소용없고..
2019-10-15,1,6,자꾸 멈추고 구동에 시간 진짜 오래 걸리네요. 시세 한 번 보려다가 자꾸 멈춰서 앱을 컸다 켰다 몇 번을 하는지 모르겠어요
2019-07-20,1,2,좋은 정보가 많아 좋긴한데... 뭐좀 보다가 뒤로가기 누르면 초기화면으로 가는게 엄청 불편함
2020-09-03,1,1,겁나 느리고 멈춰댐..맵 로딩받다가 짜증나서 지움
2019-04-18,3,1,분양정보 알람서비스 신청시 로그인 상태인데도 로그인하라고 뜹니다. 조차부탁드립니다.
2019-04-19,1,2,안나와 있는 아파트도 있고 알림설정 하려고 하니 로그인하라고 계속 나와요. 로그인이 되어있는 상태인데ㅜ
2019-01-17,5,7,"어플 구성이 잘되어있어요~요새 부동산에 관심이 많은데, 유용하게 잘쓰고 있습니다!"
2019-04-14,3,1,우리동네 빌라시세가 보였는데 며칠전부터는 전혀안보여요.(아파틑 시세는 잘보입니다)왜그런거죠?수정해주시기바랍니다
2019-06-10,1,5,너무 자주 다운되고 작동이 안됨. 분명히 관리안하고 있고 앞으로 할생각도 없는것 같음.
2020-06-11,1,2,느려터져서 쓸 수 없음 사용 불가. 호갱노노나 다른거 받으세요
2020-01-06,1,4,네트워크 불안정 오류 왜이렇게 많이 뜨나요 간단한 조회조차 너무 힘듭니다 개선부탁드립니다
2020-07-12,2,1,너무느리고 매물보는 메뉴 개선도 필요함
2020-01-05,1,3,네트워크불안정이니뭐니 파업창때문에 보기 너무 싫습니다 와이파이나 네트워크 하나만 켜놓고 하는데도 왜이리 파업창이 계속 뜨는지 개발좀 해주세요
2019-01-11,1,2,이전 버전으로 바꿔주세요 ㅠㅠ 업데이트 이후 너무 불편해서 사용할 수가 없어요!!!!!!
2019-08-09,1,4,갑자기 앱 작동이 되지 않습니다 일시적인건가요? 청약을 넣어야 하는데 앱 작동이 안됩니다
2020-01-16,1,2,자꾸 버벅대고 렉걸린것처럼 멈춰서 작동을 아예 안하네요 갤노트8입니다. 오늘 처음쓰는데...ㅋㅋ마지막이 될듯
2019-04-15,1,3,필터도 잘 안되는것같은대 역검색도 불편하고 이렇게 만들어도 오픈을하네
2020-04-20,1,22,한번 클릭할때마다 랙이 10초이상 걸리면 어떻게 쓸수 있나? 도저히 참고 쓸수가 없다.
2019-01-17,5,8,단지에 시세랑 여러 정보 같이 나오는걸로 바뀐 거 같네요 아직 익숙치 않지만... 장단점이 있는 듯 하네요
2019-08-26,1,2,어떨땐 실행도 잘 안되고 실행이 된다해도 너무 늦게 되네요. 다시 삭제합니다.
2020-01-13,4,9,전세정보 알아보려고 들어왔는데 정보검색도 잘 되고 대출설명도 있어서 도움이 되었습니다
2019-09-20,1,3,허위매물로 반나절 날리고 신고하려 들어가려하니 앱이 안열리네요. 삭제했다 설치해도 안열리네요.
2019-04-25,5,8,믿을수 있는 업체꺼라서 설치합니다. 좋은 정보가 많았으면 하는 기대를 합니다.
2020-06-09,1,1,도대체가 이앱을 쓰란거에요?? 앱을 실행하자마자 뻗어버리면 어쩌라는건지??? 개발자분 써보세요. 이거 쓸수있는건지....
2020-05-11,1,13,느려터진건지 화면이 안넘어가는건지 이딴걸 우째씀? 내폰만 그런줄 알았는데 전부다 그러네 하 참나
2019-01-04,1,9,kb시세 보기 너무힘듭니다 예전버전이 훨씬 간단해요 써보신건지 ㅠ
2020-04-21,1,12,출퇴근 소요시간조회 왜 없어졌나요? 그기능 진짜 최고였는데...
2020-01-04,1,2,뭐만 누르면 오류나는 최악의 앱!!! 계속 화면이 멈춤.
2019-03-16,3,7,어플 속도 개선해 주세요 과거나 지금이나 어플속도는...노답입니다
2019-01-17,4,3,카테고리별로 나뉘어 있어서 원하는 정보만 골라보기 편해요~!
2019-01-17,5,3,속도만 빠르면 대출도 알아보고 멀티플로 좋습니다
2019-06-14,1,9,최악... 그냥 모바일웹으로 이용하는게 훨씬 나음.. 모바일웹보다 느리고 터치도 잘 안되고.. 툭하면 먹통
2020-01-06,1,2,"앱이 첫화면에서 먹통, 제거하고 다시 깔아도 동일합니다."
2019-01-01,1,6,업데이트 하고 너무 느려졌어요. 뭐 하나 보려고 누르면 한참 기다려야되니 답답하네요.
2019-11-04,1,4,"앱 실행이 안됨(3번 재부팅, 재설치)"
2020-01-08,1,1,갤럭시5gs10 사용자인데 업데이트 되고 나서 어플이 실행이 안되네요
2019-04-24,1,2,시작로딩화면에서 왜 안넘어가죠? 쓰고싶지만 못쓰는앱;;
2019-11-27,1,4,"구동이 너무 더디고, 안 열릴 때가 많아요"
2018-11-28,1,7,지도에서 매물 볼라니까 느려서 못하겠네요 어휴 로딩만 계속하고
2020-07-09,1,1,조회성능이 너무 구림..
2019-12-29,1,3,"너무느려요. 로딩기다리다 숨넘어가겠어요 ㅡ.,ㅡ"
2020-07-03,5,4,좀 느린건 있지만 사용할만 합니다
2019-12-18,1,3,실행이 안되는데요.. 첫화면에서 정지
2019-01-13,1,5,업데이트 최신 버젼 사용하기 너무 불편하네요! 최악!!!
2020-03-22,4,25,단지명.동.호수를 터치하면 바로조회가 안되네요
2020-02-14,3,1,노트10+사용중입니다 어플이 메인화면에서 계속 멈춰있네요 해결책은 없나요?
2019-01-14,1,0,노트9에서 이렇게 느리면 어떤 폰에서 사용가능한건가요? 프리즈도 심하고
2020-04-19,1,4,무한로딩 사용자들 불편함을 앵무새식 복붙으로 때우고 근본적 개선점은 찾지않음 최악
2019-01-13,1,6,업데이트 후 이렇게 불편했던적 처음입니다. 시세부분 보기가 너무 불편해요 제발 그전으로 돌려주세요
2019-10-12,3,1,앱 구동속도가 타 관련앱보다 너무 느림
2019-01-21,5,5,"다방, 직방은 전월세만 되던데 여긴 매매를 올릴 수 있어서 좋아요"
2019-03-06,1,2,"깔지 마세요. 전혀 안되고, 스미싱 같습니다."
2019-01-30,5,9,믿고보는 리브온.부동산에 관해서는 일등 어플이죠.청약부터 시세 까지.여러모로 도움이 많이 됩니다.올해 환갑 넘으신 아버지께도 알려드려서 어플 깔아드렸답니다.상가매물 구할때도 팔때도 최고 도움이 됩니다♡번창하세요♡♡
2018-12-31,2,6,이전 버전만 못한듯...시세 한번 보기 어렵네
2019-04-19,3,2,분양메뉴에서 알림 버튼 누르면 자꾸 로그인 하라 함 ㅡ.ㅡ 디바이스: 노트9
2019-01-11,1,5,이따위로 바꿔놓고 어플 이렇게 바꾼 부서는 반성하세요.
2019-05-03,1,2,어플을 왜 만들어놨는지 모를...매우 느려터짐...존재무의미
2020-08-13,1,0,아니 어플을 다시 깔았는데도 왜 어플이 안켜지나요 어플 아예 손놓고 포기했나요??
2019-06-23,1,2,매물 시세 검색이 제대로 이뤄지지 않아요 인터넷으로 보면 확인이 되는데 어플은 확인이 안되요
2019-02-01,5,29,이제 이사 갈 때가 다되어서 여러 부동산앱 깔아러 활용중입니다. 아무래도 새롭게 출시 된 리브온 부동산 어플을 제일 많이 들어가게 되네요 ! 부동산외 뉴스 대출상품 분양정보등이 있어 좋아요 다른어플에 비해 은행을 운영하는 kB라 믿음이 더 가는게 사실이네요♡
2020-01-29,1,2,모바일 웹사이트에서 앱추가 홍보팝업 엑스표눌러도 설치창으로 넘어감 개약아빠짐
2019-02-04,5,2,가격도 그렇고 가장 객관적이고 정확한 어플이라고 생각해요
2019-12-27,5,4,사용하기 편하고 너무 유익해요
2020-01-03,1,2,이딴걸 앱이라고 개느려터짐 국민은행 관리좀 해
2019-02-11,1,2,지도움직일때마다 멈춥니다
2019-02-15,1,2,앱깔고 사용하려고 하는데 지도가 뜨지 않네요ㅠㅠ
2020-04-17,3,1,속도가 너무 느려서 불편해요
2019-04-28,1,1,앱이 작동을 않하니 확인바람
2020-03-09,1,0,업데이트 되지않아 신빙성이 약해요
2019-01-01,5,3,정확한정보 쉽게 확인될수있어 좋아요
2019-01-30,1,1,최악임 엄청 느리고 불편함
2020-01-05,1,0,정말실망~ kb아파트시세알아보러 깔았더만 정보나 캐내더니 바로 알려주지도않아요
2020-01-09,5,8,매도시 예상세액 계산할수도잇고 너무좋아요♡♡
2020-04-16,1,0,다운로드 대기중에서 변화가 없네요 다운 받을 수가 없어요
2019-02-08,5,4,너무조아요 보기두 너무좋구 부동산도 알아보기 편하네요❤
2019-03-08,5,69,정확한 시세제공으로 은행담보가격평가에 활용하고있어 믿을만 함.
2018-12-31,1,7,업데이트이후 되는게 아무것도 없는데 어떻게 된거죠ㅡㅅㅡ
2019-12-06,3,1,접속이 되지를않는데 왜그런거죠????
2019-01-08,1,7,너무 불편합니다. 원래대로 돌려주세요.
2020-10-16,1,0,업데이트 후 계속해서 에러만 뜸
2020-07-10,4,2,비교적 정확한 자동계산입니다.
2019-01-13,1,4,버그가 너무 많습니다 테스트는 한건가요?
2020-02-21,1,0,서버 불안 버벅임등 쓰레기앱 그냥 삭제 추천. 부동산 앱 좋은거 많아요
2018-12-13,4,21,부동산을 중심으로 이해할 수 있는 만큼 돈이 보이지 않을까 싶습니다
2020-10-09,4,0,괸찬은부동산물건이많이있내요
2020-05-27,1,1,직접써봐라 실행이 되는지 ㅉㅉ
2019-02-17,1,0,복잡해지고 찾기만힘듬
2019-11-03,1,1,노란화면에서 무한 정지
2020-06-26,1,0,넘 느리고 불편
2019-03-15,5,2,종합부동산세조회가 간편하네요
2019-07-08,1,0,느려터졌어요!! 이렇게 무거울수가...
2020-11-13,2,0,다운만 계속..
2020-03-16,1,1,아 어플 속도 너무느려요
2020-01-06,1,0,왜 어플 구동이 안돼죠? 새해됐다고 다들 놀러가셨나?
2020-10-12,1,0,ucwb0975뜨면서 안되네요
2019-04-24,4,0,신규입주아파트단지에 대한 매물정보가 확실하지 않네요
2020-01-12,1,1,열기가 잘안됨
2019-12-18,1,1,로딩화면에서 멈춰 있어요
2019-01-03,1,2,아파트 매물이 업뎃이후 하나도 안나오네요
2019-11-26,1,1,어플 엄청 버벅거리고 느림
2018-12-05,3,42,환율때문에 설치했는데
2018-12-31,1,5,업데이트 이후 극혐
2019-03-25,2,2,앱이 무겁고 느림
2020-06-24,1,0,아씨 개느려.. 보라는거야 말라는 거야 요새 이런 어플도 다 있냐
2019-03-03,1,9,로딩이넘느리네요
2019-09-06,1,0,kb는 앱만들때 일부러 불편하고 무겁게 만들려고 애쓰는거 같음 사람들쓰지말라고 그러는건가?
2019-12-03,1,0,프로그램 드럽게 무겁네.
2019-06-23,1,0,앱실행이 왜안되나요? 개떡같음
2019-04-21,1,3,별하나도 아깝다.앱을 만들었으면 사용할수있게 관리를하던가...
2020-11-15,4,0,시세 산출 방식은 어찌 되는건가요? 하한가 일반 상한으로 계산 되던데 상세히 설명 부탁드려요 집값 평가가 너무 낮네요
2019-02-15,5,2,아파트 매매를 알아보면서 알게 됐네요~^^ 국민은행이 주거래라 믿고 이용할 수 있어서 좋아요~~
2019-12-23,1,0,"상권분석 너무 엉망입니다. 김밥집 전국 평균 매출이 900대인데, 무슨 이천이되고, 위례김밥집들 월세 200정도도 못내서 망하는데가 쎄고 쌨는데 평균매출이 4000이라뇨 장난하는것도 아니구,가장 잘나가는데도 일매출 백도 나올까 말까인데"
2020-07-23,1,0,접속이 안됩니다
2020-07-23,1,0,앱사용 몇일째 되지 않아요 조치해주세요
2019-04-09,5,1,좋아요.신속 확인. 입출금
2020-01-30,4,0,살고있는 아파트의 국토부 실거래가가 미반영 되어 있는데 어디에다 얘기해야 되나요?
2020-03-29,1,0,V3뭐시기안쓰면 안됍니까 아예들어가지지도않고........진짜 뭐같네요
2019-10-22,1,0,앱을 다운받앙는데 실행이 안돼요? 삭제하고 다시 다운받아도 안돼요? 이유를 좀 알려주세요
2019-01-13,1,0,도대체 누가 업데이트한거임?????? 더럽게 어렵네!! 무슨생각으로 만든건가요???????
2019-03-17,5,6,이걸로 보면 편하고 좋은것 같아요~~
2020-05-22,1,0,별 하나도 아까운 앱이네요
2020-09-07,1,0,켜지지가 않누 뭔 어플이
2018-09-22,5,1,비교적정확한것같음
2019-05-26,1,2,최대 1억 매물로 설정해놔둬 그 이상 나오는 이유가?
2019-04-01,1,1,별이 아까움 노트9은 안되는 앱 인가봐요?
2020-06-06,5,0,현재 사용하고 있어요
2020-06-15,1,0,원래 이렇게 느린가요?
2020-06-24,1,0,머이리 느려 ㅡㅡ
2020-02-07,2,0,요즘 버벅거리는 앱을 누가 쓰나요??
2019-10-23,5,0,와 다운로드가 안되나요
2019-01-17,3,1,바뀌고 나니 볼게 많아졌네요
2019-04-25,1,2,아 너무 느려서 못쓰겠어요...
2020-05-22,5,0,매우 좋아요
2019-02-02,5,1,손 안에서 모든정보가 쏙~~
2020-02-03,1,0,뭔 로딩만 계속함?
2019-12-11,1,0,로그인이나 잘 만드시죠?
2020-03-02,1,0,무한로딩 검색이 안됨
2019-03-10,1,4,쓰레기 다 되지도 않는다
2019-01-20,1,1,최악의 업뎃이네요.....
2019-11-28,1,0,저는 갤9+인데 왜 안돼죠?
2019-07-02,4,0,5^^2××××ㄱㄷㄷ22
2018-12-02,5,9,수고많으셨네요.감사합니다
2019-05-20,2,0,별로입니다 몇번쓰고 삭제햇음
2019-05-24,5,1,부동산 정보는 리브온
2019-03-03,1,4,수도권 중심입니다
2019-11-02,1,0,구동 안돼네요~
2019-02-11,1,0,느림답답해속뒤집어짐
2019-04-08,1,0,앱설치가 않되요
2019-03-27,5,1,좋은 정보 감사합니다
2018-10-16,2,2,버그로 삭제
2020-03-29,5,12,너무조아요^^
2020-10-09,1,0,참 느리다!
2020-10-16,5,0,아주굿
2020-11-09,4,0,굿
2020-05-25,1,0,아 속터져
2020-06-21,1,0,쓰레기 어플
2020-06-14,1,0,너무 느림
2020-01-16,5,2,KB시세짱
2020-02-14,1,0,버그안잡냐
2020-01-16,1,0,안열려요ㅠ
2019-12-08,1,0,불편
2020-02-16,1,0,정보 느림
2019-11-24,5,0,괜찮다
2020-02-03,5,0,좋아요
2019-06-03,5,29,이전 버전에 비해서 속도도 개선된거 같고 새로 추가된 상권분석 기능이 쓸만하네요 ㅋㅋㅋㅋ
2019-08-29,1,0,렉오짐
2020-02-01,1,0,개판
2019-06-07,5,0,좋아요.
2019-09-20,2,0,버퍼링 쩔어~~~~~
2019-04-21,5,0,잘모름
2019-05-19,5,0,굿굿.
